"ObsTime","StnPres","SeaPres","StnPresMax","StnPresMaxTime","StnPresMin","StnPresMinTime","Temperature","T Max","T Max Time","T Min","T Min Time","Td dew point","RH","RHMin","RHMinTime","WS","WD","WSGust","WDGust","WGustTime","Precp","PrecpHour","PrecpMax10","PrecpMax10Time","PrecpHrMax","PrecpHrMaxTime","SunShine","SunShineRate","GloblRad","VisbMean","EvapA","UVI Max","UVI Max Time","Cloud Amount"
"01","1020.9","1024.6","1023.7","2019-02-01 09:47","1018.1","2019-02-01 23:41","15.0","16.7","2019-02-01 23:48","13.9","2019-02-01 06:12","10.3","73","69","2019-02-01 00:09","3.9","80","11.9","70","2019-02-01 18:46","T","3.0","T","2019-02-01 06:30","T","2019-02-01 06:30","0.0","0.0","0.25","11.3","-0.2","1","2019-02-01 13:00","10.0"
"02","1015.0","1018.6","1018.1","2019-02-02 00:01","1012.7","2019-02-02 15:35","20.1","27.1","2019-02-02 13:55","16.5","2019-02-02 00:08","13.8","68","49","2019-02-02 12:29","1.3","80","8.9","90","2019-02-02 00:27","0.0","0.0","0.0","2019-02-02 00:00","0.0","2019-02-02 00:00","4.4","40.1","13.21","26.0","5.3","7","2019-02-02 13:00","6.1"
"03","1014.4","1017.9","1016.3","2019-02-03 08:53","1012.4","2019-02-03 13:56","21.8","29.0","2019-02-03 13:43","16.5","2019-02-03 03:54","15.8","70","50","2019-02-03 12:16","1.2","330","8.6","290","2019-02-03 14:47","0.0","0.0","0.0","2019-02-03 00:00","0.0","2019-02-03 00:00","7.3","66.4","14.96","17.5","-2.1","7","2019-02-03 13:00","5.1"
"04","1016.9","1020.5","1020.2","2019-02-04 09:35","1014.5","2019-02-04 02:00","18.2","21.6","2019-02-04 01:15","16.9","2019-02-04 18:33","14.5","79","73","2019-02-04 01:16","3.3","90","10.3","90","2019-02-04 14:40","T","5.4","T","2019-02-04 04:50","T","2019-02-04 04:05","0.0","0.0","5.49","11.3","-1.4","4","2019-02-04 13:00","10.0"
"05","1013.6","1017.2","1016.0","2019-02-05 08:49","1010.3","2019-02-05 14:26","18.5","22.3","2019-02-05 14:44","16.8","2019-02-05 07:45","14.8","79","68","2019-02-05 14:41","1.6","110","7.1","90","2019-02-05 02:18","0.1","0.7","0.1","2019-02-05 07:52","0.1","2019-02-05 07:30","0.8","7.3","8.25","12.8","1.3","5","2019-02-05 14:00","8.9"
"06","1011.2","1014.7","1014.5","2019-02-06 00:05","1008.1","2019-02-06 14:46","20.8","26.6","2019-02-06 15:02","16.9","2019-02-06 02:36","15.9","75","58","2019-02-06 15:02","1.9","220","10.1","60","2019-02-06 13:12","0.0","0.0","0.0","2019-02-06 00:00","0.0","2019-02-06 00:00","9.0","81.4","15.41","16.5","1.9","7","2019-02-06 13:00","1.3"
"07","1012.1","1015.6","1014.9","2019-02-07 22:16","1008.7","2019-02-07 14:01","22.1","31.3","2019-02-07 13:47","17.2","2019-02-07 22:04","15.5","69","28","2019-02-07 13:54","2.2","210","12.3","100","2019-02-07 20:49","0.0","0.0","0.0","2019-02-07 00:00","0.0","2019-02-07 00:00","8.5","76.8","15.82","18.5","5.0","7","2019-02-07 13:00","3.6"
"08","1014.9","1018.5","1017.4","2019-02-08 08:56","1013.0","2019-02-08 14:58","16.9","17.9","2019-02-08 14:30","16.3","2019-02-08 20:05","12.8","76","73","2019-02-08 01:27","2.9","80","9.2","70","2019-02-08 10:58","0.0","0.0","0.0","2019-02-08 00:00","0.0","2019-02-08 00:00","0.0","0.0","4.25","23.8","1.3","3","2019-02-08 12:00","9.6"
"09","1017.4","1021.0","1020.1","2019-02-09 21:15","1014.0","2019-02-09 02:58","16.4","17.4","2019-02-09 10:33","15.0","2019-02-09 23:37","13.3","82","79","2019-02-09 00:01","2.5","110","9.8","130","2019-02-09 23:21","0.3","3.5","0.1","2019-02-09 13:14","0.2","2019-02-09 13:14","0.0","0.0","0.43","20.0","-0.4","1","2019-02-09 11:00","10.0"
"10","1019.9","1023.6","1021.8","2019-02-10 22:38","1018.1","2019-02-10 03:15","16.8","19.4","2019-02-10 13:34","15.0","2019-02-10 00:01","13.7","82","76","2019-02-10 12:55","3.5","90","10.8","80","2019-02-10 11:24","0.0","0.0","0.0","2019-02-10 00:00","0.0","2019-02-10 00:00","0.0","0.0","5.87","14.0","1.9","4","2019-02-10 12:00","9.4"
"11","1022.6","1026.2","1024.0","2019-02-11 08:50","1021.1","2019-02-11 03:18","16.7","18.7","2019-02-11 10:53","15.6","2019-02-11 06:14","13.0","79","70","2019-02-11 10:46","4.1","80","13.7","70","2019-02-11 19:06","0.0","0.0","0.0","2019-02-11 00:00","0.0","2019-02-11 00:00","1.1","9.9","10.25","16.3","2.2","5","2019-02-11 11:00","8.8"
"12","1020.0","1023.6","1022.3","2019-02-12 08:26","1016.7","2019-02-12 15:33","20.7","26.1","2019-02-12 15:07","16.7","2019-02-12 00:02","16.8","78","65","2019-02-12 15:04","3.7","90","13.6","80","2019-02-12 09:58","0.0","0.0","0.0","2019-02-12 00:00","0.0","2019-02-12 00:00","8.2","73.4","16.65","26.3","2.7","8","2019-02-12 13:00","3.8"
"13","1019.7","1023.3","1021.8","2019-02-13 09:36","1018.3","2019-02-13 14:56","18.9","20.8","2019-02-13 00:02","17.9","2019-02-13 08:40","15.4","81","72","2019-02-13 13:04","3.1","90","10.4","70","2019-02-13 16:38","T","1.0","T","2019-02-13 10:50","T","2019-02-13 10:40","0.0","0.0","5.23","11.8","-1.7","4","2019-02-13 14:00","9.7"
"14","1018.6","1022.2","1020.6","2019-02-14 09:23","1017.0","2019-02-14 02:55","19.1","20.9","2019-02-14 10:35","18.2","2019-02-14 20:10","15.8","81","75","2019-02-14 12:08","2.8","90","9.2","80","2019-02-14 15:07","0.0","0.0","0.0","2019-02-14 00:00","0.0","2019-02-14 00:00","0.0","0.0","4.89","11.0","1.3","3","2019-02-14 12:00","10.0"
"15","1016.5","1020.1","1018.7","2019-02-15 09:01","1013.4","2019-02-15 15:11","21.3","28.3","2019-02-15 13:43","18.6","2019-02-15 05:46","16.9","77","55","2019-02-15 15:02","1.6","70","7.3","90","2019-02-15 22:49","0.0","0.0","0.0","2019-02-15 00:00","0.0","2019-02-15 00:00","3.0","26.7","10.56","8.0","1.7","7","2019-02-15 13:00","7.0"
"16","1016.9","1020.5","1018.4","2019-02-16 08:08","1015.5","2019-02-16 13:44","18.0","19.8","2019-02-16 12:55","16.2","2019-02-16 19:34","14.3","80","72","2019-02-16 14:11","3.8","90","11.8","80","2019-02-16 15:41","0.0","0.0","0.0","2019-02-16 00:00","0.0","2019-02-16 00:00","0.0","0.0","5.13","30.0","2.9","3","2019-02-16 12:00","10.0"
"17","1017.2","1020.9","1019.4","2019-02-17 08:59","1014.9","2019-02-17 16:00","16.8","18.9","2019-02-17 12:53","15.0","2019-02-17 05:15","13.4","80","75","2019-02-17 13:47","4.3","90","13.8","90","2019-02-17 13:40","0.0","0.0","0.0","2019-02-17 00:00","0.0","2019-02-17 00:00","0.0","0.0","7.85","19.5","2.4","5","2019-02-17 13:00","10.0"
"18","1012.7","1016.2","1016.4","2019-02-18 00:01","1010.1","2019-02-18 17:16","20.3","23.9","2019-02-18 13:40","17.3","2019-02-18 00:01","17.4","84","75","2019-02-18 16:02","1.8","110","7.9","120","2019-02-18 03:43","1.3","1.5","0.5","2019-02-18 11:15","1.3","2019-02-18 11:10","0.3","2.7","6.93","16.0","-0.7","4","2019-02-18 13:00","9.4"
"19","1014.9","1018.5","1017.5","2019-02-19 22:31","1011.6","2019-02-19 00:35","20.7","26.8","2019-02-19 15:29","16.4","2019-02-19 03:48","16.9","79","61","2019-02-19 15:02","1.9","90","12.1","310","2019-02-19 01:52","1.1","1.5","0.4","2019-02-19 01:45","1.0","2019-02-19 01:45","1.4","12.4","7.51","19.0","1.2","3","2019-02-19 11:00","7.4"
"20","1016.3","1019.9","1017.9","2019-02-20 09:31","1014.5","2019-02-20 13:45","23.0","29.5","2019-02-20 12:17","19.5","2019-02-20 03:18","18.7","77","58","2019-02-20 11:54","1.3","90","6.5","30","2019-02-20 14:16","0.0","0.0","0.0","2019-02-20 00:00","0.0","2019-02-20 00:00","4.8","42.3","12.73","10.3","2.9","7","2019-02-20 13:00","5.0"
"21","1014.8","1018.4","1017.3","2019-02-21 00:49","1012.1","2019-02-21 15:33","21.4","25.7","2019-02-21 13:26","19.6","2019-02-21 23:56","17.5","79","65","2019-02-21 14:11","2.8","100","10.1","90","2019-02-21 08:51","0.3","0.6","0.3","2019-02-21 19:45","0.3","2019-02-21 19:45","1.8","15.8","9.35","15.8","-2.0","6","2019-02-21 13:00","8.2"
"22","1014.8","1018.4","1017.8","2019-02-22 23:16","1012.6","2019-02-22 01:35","17.8","19.7","2019-02-22 00:04","15.4","2019-02-22 23:56","15.2","85","74","2019-02-22 23:36","2.6","90","12.3","100","2019-02-22 23:38","4.0","10.6","0.5","2019-02-22 04:48","1.5","2019-02-22 04:44","0.0","0.0","1.80","6.0","-1.9","3","2019-02-22 12:00","10.0"
"23","1016.4","1020.1","1017.8","2019-02-23 06:04","1014.1","2019-02-23 14:24","14.5","15.5","2019-02-23 10:12","13.7","2019-02-23 05:44","10.8","79","68","2019-02-23 10:11","4.1","80","13.9","80","2019-02-23 09:30","3.0","8.5","0.5","2019-02-23 22:47","1.6","2019-02-23 22:25","0.0","0.0","2.43","12.0","-0.3","2","2019-02-23 10:00","10.0"
"24","1014.1","1017.8","1016.2","2019-02-24 10:28","1012.0","2019-02-24 14:39","15.4","15.9","2019-02-24 12:23","14.5","2019-02-24 00:01","14.0","92","88","2019-02-24 00:11","2.9","110","9.3","90","2019-02-24 02:51","53.4","22.2","1.2","2019-02-24 00:22","5.6","2019-02-24 13:38","0.0","0.0","2.36","4.5","-1.5","2","2019-02-24 13:00","10.0"
"25","1014.7","1018.3","1016.7","2019-02-25 22:53","1012.7","2019-02-25 03:45","17.3","19.9","2019-02-25 12:48","15.8","2019-02-25 00:01","14.8","85","73","2019-02-25 15:05","2.4","90","10.0","80","2019-02-25 21:39","0.6","3.5","0.3","2019-02-25 03:13","0.4","2019-02-25 02:55","0.0","0.0","6.71","14.3","-2.7","5","2019-02-25 13:00","9.3"
